team_id,team_name,team_short_code
1,Kolkata Knight Riders,KKR
2,Royal Challengers Bangalore,RCB
3,Chennai Super Kings,CSK
4,Kings XI Punjab,KXIP
5,Rajasthan Royals,RR
6,Delhi Daredevils,DD
7,Mumbai Indians,MI
8,Sunrisers Hyderabad,SRH
9,Deccan Chargers,DC
10,Kochi Tuskers Kerala,CTK
11,Pune Warriors,PWI
12,Rising Pune Supergiants,RPS
13,Gujarat Lions,GL
